match_id,summoner_name,role,champion,game_length_mins,kda,dmg_to_champions_per_min,team_damage_share,team_gold_share,gold_diff_15,exp_diff_15,kill_participation,objective_damage_per_min,team_objective_damage_share,vision_score_per_min,team_vision_score_share,gold_diff_per_min,exp_diff_per_min,damage_taken_per_min,damage_taken_share,healing_shielding_allies_per_min,win_loss
NA1_5327932463,,1,Nasus,31.0,0.33,429.1,18.3,18.9,-2582,-2614,21.052631578947366,119.0,11.0,0.58,12.9,-129.4,-194.4,1308.7,28.2,0.0,0
NA1_5327932463,,2,Pantheon,31.0,3.0,298.4,12.7,19.9,713,383,31.57894736842105,483.3,44.7,0.61,13.7,-28.2,-95.0,1030.3,22.2,0.0,0
NA1_5327932463,,3,Taliyah,31.0,0.86,591.1,25.2,20.0,-732,816,31.57894736842105,108.1,10.0,0.32,7.2,-74.6,-74.0,854.0,18.4,0.0,0
NA1_5327932463,,4,MissFortune,31.0,1.25,800.6,34.1,24.8,1593,109,52.63157894736842,316.4,29.3,0.97,21.6,-3.2,-99.0,689.5,14.9,0.0,0
NA1_5327932463,,5,Rakan,31.0,2.0,226.2,9.6,16.4,-428,-9,73.68421052631578,54.6,5.1,2.0,44.6,-135.7,-76.6,756.0,16.3,119.6,0
NA1_5327932463,,1,Garen,31.0,18.0,857.8,23.9,21.7,2582,2614,50.0,809.1,25.5,0.61,11.4,129.4,194.4,890.9,24.2,0.0,1
NA1_5327932463,,2,Amumu,31.0,7.0,525.5,14.6,17.8,-713,-383,38.88888888888889,1036.0,32.7,0.9,16.9,28.2,95.0,822.7,22.4,0.0,1
NA1_5327932463,,3,Viktor,31.0,2.8,777.5,21.6,20.0,732,-816,38.88888888888889,256.0,8.1,0.68,12.7,74.6,74.0,683.7,18.6,0.0,1
NA1_5327932463,,4,Kaisa,31.0,2.75,555.7,15.5,20.5,-1593,-109,30.555555555555557,806.2,25.4,0.68,12.7,3.2,99.0,570.9,15.5,0.0,1
NA1_5327932463,,5,Caitlyn,31.0,2.25,877.1,24.4,20.0,428,9,50.0,262.4,8.3,2.48,46.4,135.7,76.6,707.1,19.2,0.0,1
NA1_5327830960,,1,Teemo,30.2,1.0,779.8,26.8,21.4,-631,-1192,41.17647058823529,68.9,15.1,0.46,10.5,-128.2,-245.0,845.0,20.3,0.0,0
NA1_5327830960,,2,Briar,30.2,0.5,733.4,25.2,18.3,-1676,-1603,47.05882352941176,225.3,49.4,1.02,23.3,-191.4,-258.4,1344.4,32.4,0.0,0
NA1_5327830960,,3,Yunara,30.2,0.56,529.8,18.2,18.0,-796,-334,29.411764705882355,110.0,24.1,0.5,11.3,-170.8,-152.7,915.5,22.0,0.0,0
NA1_5327830960,,4,Twitch,30.2,1.8,495.0,17.0,22.5,472,128,52.94117647058824,34.7,7.6,0.5,11.3,-32.1,-83.0,528.2,12.7,0.0,0
NA1_5327830960,,5,Malphite,30.2,4.0,369.6,12.7,19.8,556,546,47.05882352941176,16.9,3.7,1.92,43.6,21.0,-17.8,521.5,12.6,5.6,0
NA1_5327830960,,1,Chogath,30.2,8.0,847.7,25.2,22.4,631,1192,41.02564102564102,577.4,13.4,0.23,5.3,128.2,245.0,1229.0,30.5,0.0,1
NA1_5327830960,,2,Shaco,30.2,7.33,674.6,20.0,23.1,1676,1603,56.41025641025641,1857.8,43.0,0.99,22.9,191.4,258.4,967.9,24.1,0.0,1
NA1_5327830960,,3,Malzahar,30.2,6.0,935.9,27.8,21.8,796,334,46.15384615384615,882.6,20.4,0.73,16.8,170.8,152.7,536.1,13.3,0.0,1
