match_id,summoner_name,role,champion,game_length_mins,kda,dmg_to_champions_per_min,team_damage_share,team_gold_share,gold_diff_15,exp_diff_15,kill_participation,objective_damage_per_min,team_objective_damage_share,vision_score_per_min,team_vision_score_share,gold_diff_per_min,exp_diff_per_min,damage_taken_per_min,damage_taken_share,healing_shielding_allies_per_min,win_loss
NA1_5328177964,,1,Darius,28.9,1.2,592.0,18.8,24.8,2140,1218,25.0,338.2,27.4,0.8,17.3,98.4,-87.9,1094.9,18.5,0.0,0
NA1_5328177964,,2,Diana,28.9,1.33,532.6,16.9,21.9,-80,1106,33.33333333333333,767.0,62.2,0.87,18.8,-145.9,-153.1,1089.5,18.4,0.0,0
NA1_5328177964,,3,Katarina,28.9,1.0,809.9,25.7,18.6,-1123,-1161,41.66666666666667,95.1,7.7,0.52,11.3,-81.8,-199.2,1049.8,17.7,0.0,0
NA1_5328177964,,4,Ashe,28.9,0.78,343.0,10.9,17.2,-577,-192,29.166666666666668,31.4,2.5,0.83,18.0,-233.8,-144.8,618.8,10.4,0.0,0
NA1_5328177964,,5,TahmKench,28.9,1.08,870.0,27.6,17.6,1377,513,58.333333333333336,1.9,0.2,1.59,34.6,4.2,-172.3,2073.1,35.0,35.2,0
NA1_5328177964,,1,Teemo,28.9,5.0,589.4,11.9,16.0,-2140,-1218,35.714285714285715,831.2,27.0,0.59,15.3,-98.4,87.9,574.3,13.7,0.0,1
NA1_5328177964,,2,Kayn,28.9,5.4,1152.2,23.2,25.0,80,-1106,64.28571428571429,925.8,30.1,0.52,13.5,145.9,153.1,1371.8,32.7,0.0,1
NA1_5328177964,,3,Zyra,28.9,2.0,1141.6,23.0,19.3,1123,1161,42.857142857142854,59.8,1.9,0.59,15.3,81.8,199.2,879.1,20.9,0.0,1
NA1_5328177964,,4,Aphelios,28.9,13.0,1781.7,35.9,25.2,577,192,61.904761904761905,1098.9,35.7,0.52,13.5,233.8,144.8,712.0,16.9,0.0,1
NA1_5328177964,,5,Milio,28.9,4.8,304.8,6.1,14.4,-1377,-513,57.14285714285714,159.3,5.2,1.63,42.3,-4.2,172.3,663.7,15.8,567.2,1
NA1_5328140743,,1,Sion,30.9,2.67,668.9,16.6,21.2,-871,-1072,43.24324324324324,556.6,17.4,0.58,13.5,-4.3,35.8,1322.2,25.4,0.0,1
NA1_5328140743,,2,Nocturne,30.9,6.25,1030.7,25.6,24.9,1174,1104,67.56756756756756,1553.5,48.6,0.87,20.3,179.0,226.1,1512.5,29.1,0.0,1
NA1_5328140743,,3,Viktor,30.9,3.4,887.6,22.0,19.1,632,459,45.94594594594595,423.3,13.2,0.68,15.8,48.7,120.0,944.3,18.1,0.0,1
NA1_5328140743,,4,Jinx,30.9,1.5,768.6,19.1,19.1,-531,-1487,32.432432432432435,508.6,15.9,0.36,8.3,-28.6,-38.8,719.2,13.8,0.0,1
NA1_5328140743,,5,Xerath,30.9,2.25,673.4,16.7,15.7,509,684,48.64864864864865,154.7,4.8,1.81,42.1,80.5,68.5,706.0,13.6,22.1,1
NA1_5328140743,,1,Yunara,30.9,2.4,887.5,23.3,24.6,871,1072,38.70967741935484,211.8,23.1,0.42,9.2,4.3,-35.8,898.4,19.3,0.0,0
NA1_5328140743,,2,Ivern,30.9,2.12,404.6,10.6,18.9,-1174,-1104,54.83870967741935,373.3,40.8,0.61,13.5,-179.0,-226.1,791.7,17.0,315.3,0
NA1_5328140743,,3,Hwei,30.9,1.0,1122.3,29.5,19.3,-632,-459,32.25806451612903,70.0,7.6,0.65,14.2,-48.7,-120.0,920.3,19.8,11.2,0
NA1_5328140743,,4,Ezreal,30.9,2.57,1193.9,31.4,23.5,531,1487,58.06451612903226,172.1,18.8,0.65,14.2,28.6,38.8,1145.3,24.6,0.0,0
NA1_5328140743,,5,Rakan,30.9,2.29,199.3,5.2,13.7,-509,-684,51.61290322580645,88.7,9.7,2.23,48.9,-80.5,-68.5,894.8,19.2,137.2,0
NA1_5328113814,,1,LeeSin,23.4,3.0,820.5,22.7,21.5,678,410,53.57142857142857,751.3,26.9,0.85,18.7,131.9,139.9,843.6,28.9,24.2,1
NA1_5328113814,,2,Taliyah,23.4,2.86,860.4,23.8,21.6,1227,-1256,71.42857142857143,905.4,32.5,0.98,21.5,163.7,93.2,786.7,26.9,0.0,1
NA1_5328113814,,3,Malzahar,23.4,3.5,371.5,10.3,17.8,-358,-96,25.0,479.8,17.2,0.73,15.9,-16.2,79.7,335.8,11.5,0.0,1
NA1_5328113814,,4,Yunara,23.4,6.33,1348.6,37.3,25.6,1459,214,67.85714285714286,583.8,20.9,0.64,14.0,178.4,75.5,578.2,19.8,0.0,1
NA1_5328113814,,5,Milio,23.4,20.0,212.6,5.9,13.5,-461,-384,71.42857142857143,69.8,2.5,1.37,29.9,7.5,101.4,376.1,12.9,348.6,1
NA1_5328113814,,1,Illaoi,23.4,0.71,432.2,19.9,19.6,-678,-410,27.77777777777778,66.7,7.1,0.9,20.0,-131.9,-139.9,1128.9,24.2,0.0,0
NA1_5328113814,,2,Skarner,23.4,1.2,319.7,14.7,17.9,-1227,1256,33.33333333333333,531.6,56.9,0.6,13.3,-163.7,-93.2,1414.7,30.4,0.0,0
NA1_5328113814,,3,Katarina,23.4,1.8,707.7,32.5,23.7,358,96,50.0,145.8,15.6,0.9,20.0,16.2,-79.7,764.8,16.4,0.0,0
NA1_5328113814,,4,Draven,23.4,1.0,476.5,21.9,22.1,-1459,-214,33.33333333333333,173.7,18.6,0.51,11.4,-178.4,-75.5,648.6,13.9,0.0,0
NA1_5328113814,,5,Nautilus,23.4,1.4,238.8,11.0,16.8,461,384,38.88888888888889,16.9,1.8,1.58,35.2,-7.5,-101.4,701.6,15.1,0.3,0
NA1_5328076211,,1,Sion,35.4,2.71,924.8,14.6,19.9,2677,1408,42.22222222222222,178.8,5.1,0.71,13.2,111.8,119.9,2034.3,30.1,0.0,1
NA1_5328076211,,2,Zac,35.4,4.86,1312.9,20.8,19.8,-1607,-1273,75.55555555555556,1295.9,36.7,0.62,11.6,-78.6,2.2,2073.3,30.6,11.8,1
NA1_5328076211,,3,Katarina,35.4,2.08,1394.5,22.1,25.1,-398,-1377,55.55555555555556,399.4,11.3,1.04,19.6,39.2,-9.6,1024.2,15.1,0.0,1
NA1_5328076211,,4,Smolder,35.4,3.0,2125.0,33.6,22.5,673,431,46.666666666666664,1405.6,39.8,0.59,11.1,56.3,47.8,995.9,14.7,0.0,1
NA1_5328076211,,5,Nami,35.4,6.75,566.0,9.0,12.7,210,-35,60.0,252.4,7.1,2.37,44.4,9.7,65.1,641.0,9.5,667.0,1
NA1_5328076211,,1,Camille,35.4,0.85,667.3,12.1,15.7,-2677,-1408,29.72972972972973,30.9,2.1,0.45,11.1,-111.8,-119.9,1115.5,15.5,0.0,0
NA1_5328076211,,2,Volibear,35.4,3.12,1304.9,23.6,25.1,1607,1273,67.56756756756756,844.2,56.6,0.76,18.8,78.6,-2.2,1987.1,27.7,0.0,0
NA1_5328076211,,3,Chogath,35.4,4.4,1597.9,28.9,24.8,398,1377,59.45945945945946,350.0,23.4,0.71,17.4,-39.2,9.6,2330.7,32.5,10.3,0
NA1_5328076211,,4,Yunara,35.4,1.9,1562.3,28.2,21.2,-673,-431,51.35135135135135,262.8,17.6,0.25,6.2,-56.3,-47.8,969.4,13.5,0.0,0
NA1_5328076211,,5,Milio,35.4,3.0,400.5,7.2,13.1,-210,35,72.97297297297297,5.0,0.3,1.89,46.5,-9.7,-65.1,773.3,10.8,726.0,0
NA1_5328003018,,1,Kayle,34.2,3.67,803.4,26.7,23.7,1361,1111,39.285714285714285,317.1,11.4,0.88,15.5,70.0,-30.3,705.0,18.1,41.2,1
NA1_5328003018,,2,Ekko,34.2,1.57,345.0,11.5,17.9,-2787,-373,39.285714285714285,1430.6,51.4,0.53,9.3,-173.5,-22.1,1070.6,27.5,0.0,1
