kda,dmg_to_champions,gold_diff_15,exp_diff_15,kill_participation,objective_damage,vision_score,gold_diff_end,exp_diff_end,role,win_loss
1.6,20168,816,839,38.1,1649,13,-1294,-2531,1,0
1.12,15778,-314,-2204,42.9,11619,9,-3487,-5733,2,0
1.8,18463,870,233,42.9,4240,19,2470,-1246,3,0
0.7,14390,-2195,-1722,33.3,1892,17,-6677,-4153,4,0
1.4,6773,-364,151,33.3,425,63,-3293,-3053,5,0
1.38,28374,-816,-839,33.3,7338,8,1294,2531,1,1
18,23357,314,2204,54.5,61838,28,3487,5733,2,1
1.33,10683,-870,-233,24.2,5241,9,-2470,1246,3,1
8.33,33100,2195,1722,75.8,30798,13,6677,4153,4,1
7.67,8727,364,-151,69.7,7890,68,3293,3053,5,1
1.2,18015,58,1565,37.5,1766,12,-1798,-2985,1,0
1.5,8792,-985,-388,18.8,10410,20,-1508,439,2,0
0.8,19321,-671,-595,50,0,14,-1686,-4314,3,0
0.75,19304,794,-119,37.5,6021,9,-1434,-5320,4,0
1.33,8009,-443,-161,50,217,57,-1879,-2706,5,0
0.6,7815,-58,-1565,9.7,9812,11,1798,2985,1,1
22,25489,985,388,71,65223,36,1508,-439,2,1
10.5,27492,671,595,67.7,19832,36,1686,4314,3,1
3.6,25234,-794,119,58.1,18319,11,1434,5320,4,1
5.5,10262,443,161,71,3176,73,1879,2706,5,1
2,13998,-1977,-1658,25,16588,30,-1105,921,1,1
4.25,17013,1797,1853,42.5,36292,46,2581,3672,2,1
2.83,28580,537,1329,42.5,2734,29,4054,7126,3,1
10.5,23622,1308,961,52.5,36147,19,3826,4618,4,1
6.67,20166,1093,496,50,3904,64,2622,4196,5,1
1.83,25034,1977,1658,55,4135,27,1105,-921,1,0
0.88,22222,-1797,-1853,35,6073,34,-2581,-3672,2,0
1.12,14982,-537,-1329,45,312,14,-4054,-7126,3,0
0.71,12107,-1308,-961,25,583,16,-3826,-4618,4,0
0.64,8133,-1093,-496,35,640,58,-2622,-4196,5,0
13,20636,1202,783,27.1,17081,16,2027,2672,1,1
10,24713,1877,1803,41.7,48102,27,6475,7670,2,1
5.75,37681,1640,2809,47.9,6133,26,3194,6275,3,1
3,29243,-272,-363,31.2,15583,12,-2076,1914,4,1
1.57,21781,167,-104,22.9,9879,49,2418,1314,5,1
0.25,23879,-1202,-783,15.8,2067,13,-2027,-2672,1,0
0.7,13352,-1877,-1803,36.8,6213,32,-6475,-7670,2,0
0.79,23672,-1640,-2809,57.9,1538,12,-3194,-6275,3,0
2.5,24509,272,363,78.9,2702,11,2076,-1914,4,0
2.5,9909,-167,104,78.9,750,61,-2418,-1314,5,0
1.25,24171,251,-154,48.4,4056,26,-5349,-6602,1,0
0.6,18588,-1201,-924,19.4,48101,51,-3272,-4713,2,0
2.33,24255,-349,-1137,45.2,9969,24,-2267,-3018,3,0
1.08,32851,-1535,-1310,41.9,15387,37,-4713,-2891,4,0
2.62,56252,355,-261,67.7,3659,71,3994,546,5,0
1.9,38265,-251,154,39.6,21097,26,5349,6602,1,1
6.33,25127,1201,924,39.6,56906,31,3272,4713,2,1
10,40101,349,1137,41.7,9581,28,2267,3018,3,1
3.88,48701,1535,1310,64.6,35152,25,4713,2891,4,1
3,15063,-355,261,50,13822,126,-3994,-546,5,1
2,28876,-2402,-1263,42.9,293,15,-3428,-5923,1,0
0.92,21406,-2644,-982,39.3,13573,7,-7666,-8096,2,0
0.62,14720,-2337,-1885,28.6,887,9,-2909,-1861,3,0
1.2,28502,-197,96,42.9,14845,22,1124,-1565,4,0
1.31,28966,451,831,60.7,2625,58,-545,-1857,5,0
8,37293,2402,1263,29.6,15123,21,3428,5923,1,1
35,38649,2644,982,64.8,38907,13,7666,8096,2,1
2.56,27338,2337,1885,42.6,2496,10,2909,1861,3,1
2.33,23705,197,-96,38.9,23022,23,-1124,1565,4,1
3,19323,-451,-831,44.4,7179,82,545,1857,5,1
1.33,13567,-300,-118,29.6,3004,13,-3381,-4124,1,0
0.83,14476,-1321,-662,37,0,16,-4434,-7234,2,0
4,31680,1198,514,74.1,398,15,28,-1795,3,0
0.5,14576,408,720,18.5,3404,21,-2396,-3075,4,0
2,19081,-272,-8,29.6,2257,33,-2205,-1935,5,0
3,41934,300,118,32.4,32628,13,3381,4124,1,1
7,19136,1321,662,56.8,56333,38,4434,7234,2,1
1.22,32360,-1198,-514,29.7,6146,19,-28,1795,3,1
2.5,12946,-408,-720,40.5,22275,13,2396,3075,4,1
3.8,25367,272,8,51.4,3567,65,2205,1935,5,1
10.5,31949,1739,1255,51.2,11005,17,6742,8384,1,1
3.33,25955,1413,1724,48.8,30054,27,4241,5515,2,1
2,14121,-1910,-1015,19.5,32481,8,-3598,3789,3,1
3,24883,-155,-261,36.6,21688,19,1994,2429,4,1
2.33,13652,1681,1250,34.1,10549,50,4749,1740,5,1
0.33,16848,-1739,-1255,13,548,14,-6742,-8384,1,0
1.43,18828,-1413,-1724,43.5,4808,24,-4241,-5515,2,0
1.2,28905,1910,1015,52.2,1447,22,3598,-3789,3,0
1.5,16990,155,261,39.1,1680,12,-1994,-2429,4,0
0.89,6268,-1681,-1250,34.8,824,41,-4749,-1740,5,0
0.75,20178,1315,792,24,3852,30,-1782,-4747,1,0
