kda,dmg_to_champions,gold_diff_15,exp_diff_15,kill_participation,objective_damage,vision_score,gold_diff_end,exp_diff_end,role,win_loss
0.6,8653,-1002,-241,22.2,1770,20,-4887,-5599,2,0
1.25,26807,-2551,-3126,37,1296,7,-3326,-3739,3,0
1.33,13330,-1821,-922,29.6,480,6,-4490,-3562,4,0
2.14,26114,-167,-1704,55.6,528,50,3073,-1826,5,0
2,14817,555,179,26.3,3518,29,-831,151,1,1
2.57,29169,1002,241,47.4,59212,22,4887,5599,2,1
1.5,22475,2551,3126,31.6,36364,18,3326,3739,3,1
5,23077,1821,922,39.5,20502,11,4490,3562,4,1
4,8767,167,1704,42.1,3966,75,-3073,1826,5,1
0.44,30532,-704,-1592,24.1,11660,18,-6229,-6790,1,0
2.29,23472,-1700,-443,55.2,11156,33,2029,-271,2,0
0.77,19106,-1313,-1840,34.5,995,10,-4207,-6306,3,0
3,29832,-732,379,51.7,1455,13,41,2208,4,0
1.56,18512,-403,-807,48.3,2580,54,-935,-5639,5,0
3.57,64551,704,1592,50,15208,16,6229,6790,1,1
4,22485,1700,443,40,31094,22,-2029,271,2,1
3,27882,1313,1840,30,17321,21,4207,6306,3,1
2.14,20347,732,-379,30,33785,31,-41,-2208,4,1
5,9556,403,807,50,1770,64,935,5639,5,1
4.5,43559,3620,4214,62.1,13913,14,7902,7602,1,1
5.5,17721,-350,-3,37.9,41632,36,302,3487,2,1
1.6,28908,572,381,27.6,3283,18,1568,1842,3,1
7,11975,-334,-235,24.1,30903,7,1229,808,4,1
14,11321,851,897,48.3,9334,54,3042,2991,5,1
0.36,27237,-3620,-4214,36.4,2445,9,-7902,-7602,1,0
1.83,29223,350,3,100,8055,28,-302,-3487,2,0
1.2,18737,-572,-381,54.5,3219,8,-1568,-1842,3,0
1.67,15829,334,235,45.5,2189,7,-1229,-808,4,0
1.25,7641,-851,-897,45.5,92,39,-3042,-2991,5,0
4.67,26773,3264,2177,38.9,8725,4,6638,3710,1,1
4.33,8122,335,-199,36.1,30750,11,1960,660,2,1
15,17830,768,1654,41.7,4313,10,1326,2082,3,1
16,11574,622,1312,44.4,23868,11,3605,3135,4,1
4.2,20040,2084,761,58.3,3082,66,2761,1135,5,1
0.62,9115,-3264,-2177,38.5,0,7,-6638,-3710,1,0
0.67,8437,-335,199,30.8,6193,10,-1960,-660,2,0
0.88,10746,-768,-1654,53.8,1024,11,-1326,-2082,3,0
0.57,8992,-622,-1312,30.8,477,10,-3605,-3135,4,0
1,12240,-2084,-761,53.8,834,46,-2761,-1135,5,0
0.89,27939,-1225,-849,40,662,15,-7937,-5825,1,0
1.12,9402,-381,-421,45,21930,20,-3239,-3629,2,0
5.5,24785,283,22,55,3762,21,581,-1369,3,0
2.2,16952,127,988,55,2118,16,174,131,4,0
3,14014,930,144,60,1031,50,661,-2452,5,0
1.33,34591,1225,849,42.9,17737,11,7937,5825,1,1
3.5,12274,381,421,50,41930,13,3239,3629,2,1
2.67,24399,-283,-22,28.6,12427,21,-581,1369,3,1
4.5,15645,-127,-988,32.1,16933,13,-174,-131,4,1
6.5,18006,-930,-144,46.4,9429,57,-661,2452,5,1
0.54,20008,164,-179,22.6,10316,14,-4060,-4731,1,0
4.6,36883,1889,260,74.2,6772,31,3911,233,2,0
1.62,21149,-1674,118,41.9,2516,15,-2028,245,3,0
1.17,18454,-974,-970,45.2,4926,19,-1801,-2911,4,0
1.23,14459,-302,-708,51.6,727,56,-1640,-1479,5,0
4.4,41978,-164,179,43.1,10604,25,4060,4731,1,1
2.5,17091,-1889,-260,39.2,40798,16,-3911,-233,2,1
7.5,37822,1674,-118,58.8,12925,25,2028,-245,3,1
4.83,38342,974,970,56.9,22820,20,1801,2911,4,1
3.75,14738,302,708,58.8,9222,58,1640,1479,5,1
1.5,52274,-2890,-1196,30,15491,16,-273,-814,1,1
1.13,37214,-662,-2017,42.5,16392,30,-4554,-6378,2,1
3.14,42139,2448,2859,55,2763,33,2475,709,3,1
2.57,49515,1180,-797,45,15941,37,1183,-2930,4,1
3.29,19348,-650,149,57.5,2161,63,-136,150,5,1
3.83,42901,2890,1196,52.3,5906,19,273,814,1,0
3.22,43118,662,2017,65.9,62839,24,4554,6378,2,0
1.8,26128,-2448,-2859,40.9,3743,37,-2475,-709,3,0
5.25,24606,-1180,797,47.7,34170,35,-1183,2930,4,0
2.27,18943,650,-149,56.8,5180,100,136,-150,5,0
1.38,31638,-400,749,34.4,497,13,-2553,-933,1,0
2.29,14633,-1637,-1135,50,26456,17,-3047,-2062,2,0
2.83,40735,1449,233,53.1,9242,22,2546,1176,3,0
1.6,17155,-1330,249,50,7959,12,-4219,-248,4,0
2.22,20700,9,-568,62.5,2327,68,-1757,-4154,5,0
2.57,22942,400,-749,45,22664,19,2553,933,1,1
4.2,34042,1637,1135,52.5,41010,21,3047,2062,2,1
1.86,20998,-1449,-233,32.5,15556,19,-2546,-1176,3,1
3,44864,1330,-249,67.5,15796,19,4219,248,4,1
7,15621,-9,568,70,838,47,1757,4154,5,1
0.88,23292,1915,1571,30.4,6270,12,1514,-460,1,0
1.86,21467,-1146,-1016,56.5,6120,47,-2033,-3921,2,0
0.7,12938,-1589,-2234,30.4,1347,15,-2287,-2124,3,0
2.5,17112,-3200,-1372,65.2,12565,13,-6477,-2999,4,0
1.86,12587,-486,-2115,56.5,3488,51,-714,-2668,5,0
3.67,17570,-1915,-1571,28.9,8547,11,-1514,460,1,1
11.5,19247,1146,1016,60.5,43849,24,2033,3921,2,1
2.17,25060,1589,2234,34.2,7326,19,2287,2124,3,1
3.83,34588,3200,1372,60.5,45409,3,6477,2999,4,1
4.5,10807,486,2115,71.1,7244,68,714,2668,5,1
1.33,6713,807,-176,66.7,0,10,-51,-748,2,0
0,4596,-1753,-1691,0,255,4,-2244,-2073,3,0
2.5,4894,-935,-367,83.3,0,6,-1669,-962,4,0
1.33,4582,308,-372,66.7,0,21,-118,-984,5,0
1,6540,2022,1449,9.1,2020,5,2178,1672,1,1
7,4952,-807,176,63.6,20521,15,51,748,2,1
2,11225,1753,1691,36.4,3122,11,2244,2073,3,1
3.5,12310,935,367,63.6,2054,8,1669,962,4,1
3,2584,-308,372,54.5,1827,19,118,984,5,1
3.17,29588,-964,-1046,41.3,6932,17,952,713,1,1
6.2,20077,203,38,67.4,23748,25,1206,1593,2,1
8,29579,-105,-168,52.2,6706,14,4508,2055,3,1
3.57,32977,645,393,54.3,17154,22,41,-1932,4,1
3.43,15104,1238,713,52.2,5167,62,1967,2933,5,1
0.67,29347,964,1046,21.4,9410,23,-952,-713,1,0
1.8,23071,-203,-38,64.3,40646,18,-1206,-1593,2,0
1.57,22403,105,168,39.3,6996,24,-4508,-2055,3,0
2,35124,-645,-393,71.4,17154,14,-41,1932,4,0
1.3,10652,-1238,-713,46.4,1559,71,-1967,-2933,5,0
5.6,40028,51,186,68.3,18286,13,5737,4300,1,1
2.86,22070,-1701,-1001,48.8,21264,13,-1733,-149,2,1
3,22947,-2837,-825,51.2,11555,15,423,3155,3,1
3.57,20139,-2103,-184,61,5897,7,566,2366,4,1
3.88,10066,-1156,-525,75.6,4464,45,-1794,3602,5,1
1.5,22819,-51,-186,44.1,1869,10,-5737,-4300,1,0
2.71,17721,1701,1001,55.9,53051,25,1733,149,2,0
2.83,31191,2837,825,50,9430,14,-423,-3155,3,0
1.45,27107,2103,184,47.1,2777,19,-566,-2366,4,0
2.86,18358,1156,525,58.8,4755,65,1794,-3602,5,0
0.75,14772,-2460,-2414,16.7,5632,20,-2540,-1372,1,1
3.6,27126,-906,-877,50,46933,16,2262,4317,2,1
5,32287,778,214,55.6,14566,8,4390,4844,3,1
3.25,23361,2340,4204,36.1,19134,18,4263,4269,4,1
2.5,17057,-256,-2378,55.6,2811,66,-1288,-1432,5,1
3.2,27424,2460,2414,55.2,6235,15,2540,1372,1,0
1.88,17687,906,877,51.7,14070,29,-2262,-4317,2,0
1.71,23977,-778,-214,41.4,2699,16,-4390,-4844,3,0
2.33,10100,-2340,-4204,72.4,222,32,-4263,-4269,4,0
2,19955,256,2378,48.3,0,39,1288,1432,5,0
1.44,18985,-2425,-1854,59.1,1641,9,-3134,-2148,1,0
1.5,14465,-639,59,68.2,18458,18,-1319,-2123,2,0
2,21753,420,-761,54.5,8106,15,-638,-3473,3,0
1.67,8991,-955,-1091,22.7,6043,11,-2291,-948,4,0
3,10329,-104,607,68.2,899,38,-457,347,5,0
2.83,39291,2425,1854,53.1,15446,5,3134,2148,1,1
2.83,22684,639,-59,53.1,22815,13,1319,2123,2,1
4.25,17993,-420,761,53.1,6319,18,638,3473,3,1
5.33,13100,955,1091,50,18573,11,2291,948,4,1
4.67,10308,104,-607,43.8,6843,63,457,-347,5,1
2.57,11611,6,-1009,50,9228,24,-1586,-1126,1,1
2.67,17891,-707,-550,44.4,40794,18,-450,-1259,2,1
9,25681,-1196,-278,50,11471,32,822,1970,3,1
2.12,21998,-1012,-910,47.2,9726,17,1629,1318,4,1
2.75,29319,-169,733,61.1,8048,39,2247,4047,5,1
0.88,21973,-6,1009,22.6,2902,12,1586,1126,1,0
3,17257,707,550,38.7,22829,42,450,1259,2,0
1.56,23801,1196,278,45.2,8536,7,-822,-1970,3,0
3,32140,1012,910,48.4,18355,14,-1629,-1318,4,0
1.1,7338,169,-733,35.5,2198,62,-2247,-4047,5,0
0,4664,-2571,-2915,0,0,8,-3595,-4176,1,0
2,8396,549,-356,90.9,281,13,-1780,-1278,2,0
0.86,14768,135,58,54.5,641,10,26,-564,3,0
1,9164,-589,-527,27.3,5609,10,-683,-978,4,0
1.2,4518,-626,23,54.5,0,37,-1271,-1478,5,0
7,15982,2571,2915,26.9,14766,6,3595,4176,1,1
8,14271,-549,356,61.5,16572,16,1780,1278,2,1
2.5,14086,-135,-58,38.5,9997,8,-26,564,3,1
1.6,7082,589,527,30.8,3298,0,683,978,4,1
14,6490,626,-23,53.8,3387,48,1271,1478,5,1
0.22,14062,-2407,-1671,28.6,6561,14,-2038,-2162,1,0
0.71,18865,305,1119,71.4,14374,14,-1352,-403,2,0
0.62,13825,-1510,-1778,71.4,286,10,-3616,-4432,3,0
0.5,9854,-532,8,28.6,1086,4,-2418,-3434,4,0
1.5,8085,-575,-60,42.9,231,49,-1363,-2262,5,0
7,19287,2407,1671,46.7,5580,10,2038,2162,1,1
17,11380,-305,-1119,56.7,33762,11,1352,403,2,1
4.75,24654,1510,1778,63.3,3598,12,3616,4432,3,1
8,12381,532,-8,26.7,14871,10,2418,3434,4,1
15,3987,575,60,50,2382,37,1363,2262,5,1
0.67,26025,-323,-1123,14.3,14297,14,-3009,-5292,1,0
3.86,39648,75,969,64.3,44587,12,-4660,614,2,0
0.85,24045,680,-36,26.2,8506,18,-2831,-4805,3,0
2,22069,180,1242,42.9,24500,18,-3400,-2188,4,0
4.29,37711,1310,39,71.4,11070,80,4300,281,5,0
4,54629,323,1123,44.4,7792,8,3009,5292,1,1
2.42,50487,-75,-969,64.4,18631,22,4660,-614,2,1
2.62,15253,-680,36,46.7,10531,11,2831,4805,3,1
4.33,31328,-180,-1242,57.8,7440,16,3400,2188,4,1
2.09,10381,-1310,-39,51.1,1713,70,-4300,-281,5,1
2.6,29371,1538,250,31.7,5886,10,4291,4573,1,1
3,10723,-1126,-572,29.3,55866,24,322,4896,2,1
5,45425,606,445,61,10665,12,4274,5707,3,1
2.83,31551,680,14,41.5,28734,21,2875,2637,4,1
4.2,9911,-260,-574,51.2,4357,87,1397,906,5,1
0.73,15410,-1538,-250,32,2947,16,-4291,-4573,1,0
1.15,17951,1126,572,60,9700,18,-322,-4896,2,0
3.67,13982,-606,-445,44,2653,33,-4274,-5707,3,0
1.36,19139,-680,-14,60,3371,7,-2875,-2637,4,0
4.67,14557,260,574,56,1086,65,-1397,-906,5,0
2.17,26067,406,-209,54.2,10724,9,694,-59,1,1
7.5,12155,2842,484,62.5,38407,20,4070,1953,2,1
3,11377,-39,-580,25,4947,11,-1225,-2040,3,1
15,15029,1884,-281,62.5,24297,10,2468,-339,4,1
17,12558,393,1224,70.8,11701,42,2745,2760,5,1
0.83,12840,-406,209,41.7,7237,14,-694,59,1,0
0.67,8922,-2842,-484,33.3,1068,7,-4070,-1953,2,0
2,7189,39,580,50,862,10,1225,2040,3,0
2.5,9178,-1884,281,41.7,522,8,-2468,339,4,0
1,4445,-393,-1224,58.3,213,34,-2745,-2760,5,0
2,23138,1656,1235,51.9,2914,17,-2298,-4602,1,0
1.08,12232,188,-292,48.1,27560,27,-3704,-7772,2,0
1.86,33146,-981,-23,48.1,7439,29,-3465,-3733,3,0
1.82,32024,192,-87,74.1,12273,23,-80,-2243,4,0
1.6,15376,296,-180,59.3,4716,70,-1291,-2920,5,0
5,36379,-1656,-1235,53.2,12606,22,2298,4602,1,1
4,33995,-188,292,51.1,40424,31,3704,7772,2,1
7.25,43283,981,23,61.7,9401,33,3465,3733,3,1
5.6,41118,-192,87,59.6,39134,18,80,2243,4,1
4.57,15084,-296,180,68.1,7102,96,1291,2920,5,1
2.25,27263,-171,-755,28.1,16335,17,2541,1707,1,1
2.2,12040,-2173,-1841,34.4,24355,33,-3983,-862,2,1
6,18162,539,-672,37.5,2513,13,-1688,1052,3,1
3.33,33917,1869,1643,62.5,28939,29,6861,3964,4,1
3.83,12424,1124,1152,71.9,2920,49,3014,2898,5,1
1,17325,171,755,17.4,2421,13,-2541,-1707,1,0
1.5,28339,2173,1841,52.2,38957,34,3983,862,2,0
1.17,11551,-539,672,30.4,6775,18,1688,-1052,3,0
3.25,21836,-1869,-1643,56.5,4291,11,-6861,-3964,4,0
1.3,12505,-1124,-1152,56.5,4479,63,-3014,-2898,5,0
2.14,52502,-269,-70,51.7,1889,14,-3264,-4153,1,0
2.57,38392,542,256,62.1,10197,35,-1135,-1343,2,0
2,42223,-130,94,48.3,9801,13,445,2397,3,0
2.67,31329,-201,-602,55.2,8504,22,484,-2671,4,0
4,13816,238,-17,69,1288,107,-2426,-1256,5,0
2.43,41919,269,70,53.1,15743,8,3264,4153,1,1
5.67,23374,-542,-256,53.1,57287,46,1135,1343,2,1
9.5,26702,130,-94,59.4,23162,43,-445,-2397,3,1
1.67,24768,201,602,46.9,51756,30,-484,2671,4,1
2,10896,-238,17,50,6007,126,2426,1256,5,1
2.8,24950,1931,2461,48.3,17939,14,7014,5211,1,1
1.38,21763,1225,-78,37.9,20021,23,2711,1576,2,1
3.33,28545,448,1274,34.5,2485,22,-822,-860,3,1
1.5,26882,-763,-606,41.4,616,10,-565,593,4,1
0.88,7352,-1474,-1068,24.1,72,71,-3216,-4629,5,1
0.78,23818,-1931,-2461,21.9,8211,20,-7014,-5211,1,0
2.33,16364,-1225,78,43.8,21322,14,-2711,-1576,2,0
2.6,32644,-448,-1274,40.6,3744,13,822,860,3,0
3.6,24884,763,606,56.2,16219,19,565,-593,4,0
5.25,17672,1474,1068,65.6,4033,46,3216,4629,5,0
1.57,26462,-507,-589,21.6,15438,11,940,728,1,1
3,16029,-466,691,29.4,55208,14,903,3382,2,1
23,29616,1168,2160,45.1,4565,12,1569,3777,3,1
6.4,49338,3182,2404,62.7,15396,13,6189,3843,4,1
7.5,18570,997,248,58.8,6299,58,3097,1279,5,1
0.7,21882,507,589,31.8,4360,7,-940,-728,1,0
1.3,13606,466,-691,59.1,9662,15,-903,-3382,2,0
1,25079,-1168,-2160,54.5,0,13,-1569,-3777,3,0
0.69,20407,-3182,-2404,40.9,2531,14,-6189,-3843,4,0
2.83,6691,-997,-248,77.3,517,42,-3097,-1279,5,0
1.14,19741,-1321,-2000,28.6,9506,14,-494,487,1,1
20,24000,1566,1869,71.4,30469,23,6873,8348,2,1
2,11196,-1126,-712,35.7,7546,15,-2006,-1870,3,1
3.33,14222,1386,547,35.7,24696,14,2356,2492,4,1
15,10477,435,436,53.6,5030,65,2505,2941,5,1
0.86,24404,1321,2000,37.5,11346,10,494,-487,1,0
1.4,11929,-1566,-1869,43.8,7836,11,-6873,-8348,2,0
0.83,16066,1126,712,31.2,3798,14,2006,1870,3,0
0.57,6631,-1386,-547,25,283,19,-2356,-2492,4,0
1.67,2466,-435,-436,31.2,1061,42,-2505,-2941,5,0
4,11170,4578,4671,42.1,12155,2,5663,6063,1,1
8,8718,2299,2461,42.1,40599,26,4262,4965,2,1
6,10192,937,326,31.6,6242,9,870,-52,3,1
6,7259,2631,1370,31.6,13268,15,1258,1870,4,1
1.33,4829,1345,878,21.1,8410,41,2026,275,5,1
0.12,4923,-4578,-4671,12.5,57,5,-5663,-6063,1,0
0.83,5901,-2299,-2461,62.5,0,9,-4262,-4965,2,0
3,8571,-937,-326,37.5,0,15,-870,52,3,0
3,12187,-2631,-1370,75,0,6,-1258,-1870,4,0
3,4323,-1345,-878,75,0,36,-2026,-275,5,0
1.86,48187,1720,2131,43.3,2955,8,-2307,-3818,1,0
2.14,33578,1580,184,50,27243,28,-2609,-4484,2,0
1.11,29286,-214,550,33.3,4196,13,-1418,-3338,3,0
2.25,29336,-321,212,30,3655,4,-1308,-3531,4,0
4.25,6977,-124,820,56.7,1718,72,-2379,1332,5,0
0.33,26812,-1720,-2131,6.5,23770,6,2307,3818,1,1
9.5,25132,-1580,-184,61.3,67898,19,2609,4484,2,1
1.62,21609,214,-550,41.9,12132,30,1418,3338,3,1
2.33,22735,321,-212,45.2,13301,13,1308,3531,4,1
2.25,16184,124,-820,58.1,9787,50,2379,-1332,5,1
3,56287,1413,499,50,22209,25,5129,4047,1,1
4.8,25847,809,-465,57.1,38993,36,848,1469,2,1
4.25,28272,-46,1187,40.5,29415,15,-641,655,3,1
2.4,21805,-791,-158,57.1,15628,9,-292,287,4,1
3.57,13476,-939,-846,59.5,8950,80,-1345,1662,5,1
1.55,58114,-1413,-499,51.5,7840,7,-5129,-4047,1,0
2.38,33139,-809,465,57.6,18852,26,-848,-1469,2,0
1.6,32180,46,-1187,48.5,5610,14,641,-655,3,0
3.67,35637,791,158,66.7,3924,20,292,-287,4,0
1.86,25321,939,846,39.4,7212,78,1345,-1662,5,0
3.17,35183,-1676,-2048,45.2,23620,18,259,2486,1,1
1.9,31581,-1536,-1574,45.2,35205,20,-321,1845,2,1
3.17,36239,977,2015,45.2,8415,11,3518,2836,3,1
3,29708,400,663,50,4432,28,1394,-228,4,1
3.33,9603,548,749,47.6,1125,61,1435,762,5,1
2.43,36834,1676,2048,48.6,17743,19,-259,-2486,1,0
2.11,27904,1536,1574,54.3,40732,21,321,-1845,2,0
1.91,28119,-977,-2015,60,3231,33,-3518,-2836,3,0
2.38,31978,-400,-663,54.3,13255,26,-1394,228,4,0
2.57,7431,-548,-749,51.4,2029,44,-1435,-762,5,0
10,19075,1834,1318,26.3,21388,13,6938,6172,1,1
3.14,32463,2616,407,57.9,6914,29,6113,3096,2,1
9.5,23171,847,205,50,6600,14,1151,2938,3,1
4.33,17816,-998,-415,34.2,24059,13,-655,1293,4,1
20,7238,-215,882,52.6,8042,50,1203,3593,5,1
0.12,12069,-1834,-1318,7.7,3891,9,-6938,-6172,1,0
0.36,6844,-2616,-407,30.8,21010,14,-6113,-3096,2,0
1.33,15514,-847,-205,61.5,70,14,-1151,-2938,3,0
1.8,20480,998,415,69.2,5900,8,655,-1293,4,0
0.62,5841,215,-882,38.5,306,58,-1203,-3593,5,0
1.33,16196,1746,1317,44.4,6516,7,1511,1118,1,0
0.67,5785,109,807,44.4,16425,13,507,1461,2,0
0.75,10072,-736,-445,33.3,1356,14,-1785,-1544,3,0
0.25,10703,-2881,-651,11.1,3964,5,-6141,-3028,4,0
0.4,2509,-453,-466,22.2,221,30,-1541,-2908,5,0
0.75,13545,-1746,-1317,13.6,4127,4,-1511,-1118,1,1
2.5,5641,-109,-807,22.7,29192,18,-507,-1461,2,1
10,13557,736,445,45.5,3312,7,1785,1544,3,1
8.5,23705,2881,651,77.3,6214,12,6141,3028,4,1
17,7239,453,466,77.3,1025,17,1541,2908,5,1
0.91,22315,-973,-484,47.6,4610,12,-3829,-3024,1,0
2.14,19872,-1342,-1474,71.4,205,14,-2913,-7239,2,0
1.6,14586,-2112,-1597,38.1,0,20,-3662,-4195,3,0
1.29,13977,-322,336,42.9,598,12,-2948,-3360,4,0
3.25,5908,-254,-735,61.9,847,68,-384,-764,5,0
1.44,32384,973,484,38.2,8341,14,3829,3024,1,1
5.33,17237,1342,1474,47.1,44256,41,2913,7239,2,1
7.5,31803,2112,1597,44.1,7075,14,3662,4195,3,1
3.75,18369,322,-336,44.1,33158,19,2948,3360,4,1
6,9448,254,735,52.9,5827,66,384,764,5,1
2.78,51829,2060,-646,65.8,20623,20,9639,5490,1,0
2.29,12108,73,128,42.1,31781,58,-1963,1023,2,0
2.14,16778,289,-1009,39.5,11566,32,-869,-3699,3,0
2.33,33292,647,102,55.3,26306,32,1732,216,4,0
3.38,10594,-1472,-902,71.1,8764,90,-6009,-1578,5,0
1.4,33632,-2060,646,35,9118,22,-9639,-5490,1,1
2,39088,-73,-128,45,41378,29,1963,-1023,2,1
3.25,28841,-289,1009,32.5,7360,24,869,3699,3,1
2.14,30442,-647,-102,37.5,10076,27,-1732,-216,4,1
2.88,39203,1472,902,57.5,7731,84,6009,1578,5,1
2.2,21998,1604,1188,31.4,4502,11,1855,1932,1,1
14,11959,1270,375,40,55951,18,1951,2232,2,1
8,18074,237,457,45.7,8485,14,2877,3714,3,1
3.5,15480,1526,1182,40,9560,13,3818,4432,4,1
4.67,11321,304,1603,40,8633,29,2145,2684,5,1
0.57,14246,-1604,-1188,28.6,1179,3,-1855,-1932,1,0
1,10761,-1270,-375,57.1,2124,15,-1951,-2232,2,0
0.43,16006,-237,-457,21.4,2098,11,-2877,-3714,3,0
0.86,13599,-1526,-1182,42.9,463,17,-3818,-4432,4,0
1.17,11642,-304,-1603,50,116,41,-2145,-2684,5,0
7.33,56923,1080,873,52.4,13662,22,7617,7689,1,1
4.75,21021,-1024,-655,45.2,42798,24,-1648,356,2,1
6.67,48829,835,1401,47.6,22367,11,4770,5417,3,1
2.5,22182,-476,-38,35.7,25618,14,-1519,2734,4,1
3.6,13109,968,-660,42.9,5954,74,1518,631,5,1
0.25,28152,-1080,-873,14.3,5138,12,-7617,-7689,1,0
2,21677,1024,655,66.7,4786,30,1648,-356,2,0
0.42,14135,-835,-1401,23.8,2505,20,-4770,-5417,3,0
2.14,28980,476,38,71.4,3457,18,1519,-2734,4,0
3.25,3926,-968,660,61.9,417,75,-1518,-631,5,0
4,23148,4325,2810,40,9090,9,7022,4475,1,1
4,8392,1574,341,26.7,47591,17,4018,3428,2,1
11,14492,629,669,36.7,5820,8,1803,2995,3,1
7.5,14898,1477,1259,50,25020,20,2797,3601,4,1
3,15072,526,307,40,4840,42,2559,2506,5,1
0.2,14635,-4325,-2810,18.2,136,12,-7022,-4475,1,0
1.75,9840,-1574,-341,63.6,0,17,-4018,-3428,2,0
1.2,13544,-629,-669,54.5,694,6,-1803,-2995,3,0
1.8,15842,-1477,-1259,81.8,185,1,-2797,-3601,4,0
1.33,8460,-526,-307,72.7,0,46,-2559,-2506,5,0
0.92,39933,-405,-1506,42.9,12684,16,-38,-3591,1,0
0.88,19471,-1421,-1095,25,18517,22,-1827,-3911,2,0
2.29,27112,-46,700,57.1,5118,18,3239,5766,3,0
2.57,82718,-2337,-1729,64.3,7983,10,-2613,-1647,4,0
1.42,12822,-588,-33,60.7,182,72,-454,4214,5,0
2,35364,405,1506,21.3,13474,14,38,3591,1,1
2.88,26166,1421,1095,48.9,58533,14,1827,3911,2,1
2.5,35803,46,-700,42.6,5585,30,-3239,-5766,3,1
9.25,83279,2337,1729,78.7,64724,20,2613,1647,4,1
6,7739,588,33,38.3,1812,72,454,-4214,5,1
1.43,22858,-2077,-2037,26.3,13668,4,1163,2519,1,1
17,18271,2244,2132,44.7,44883,14,4578,6116,2,1
9,20788,1469,566,47.4,10378,12,2055,3571,3,1
22,21325,2482,1389,57.9,32693,8,4265,3545,4,1
12.5,10264,1269,167,65.8,6906,51,1674,9,5,1
0.67,22540,2077,2037,50,2698,6,-1163,-2519,1,0
0.1,11647,-2244,-2132,8.3,289,13,-4578,-6116,2,0
0.71,18723,-1469,-566,41.7,2024,16,-2055,-3571,3,0
0.2,10885,-2482,-1389,8.3,3235,8,-4265,-3545,4,0
0.43,2781,-1269,-167,25,920,24,-1674,-9,5,0
2.5,35213,3406,4127,45.5,9357,14,3315,1713,1,0
3.2,27786,1266,1200,48.5,22639,31,880,-2065,2,0
2.6,22268,-713,-746,39.4,3345,19,-4313,-6480,3,0
2,18971,-1979,271,30.3,8399,20,-4031,-3430,4,0
0.53,3504,-1344,-1962,27.3,150,66,-3480,-5809,5,0
0.64,18715,-3406,-4127,23.7,8470,26,-3315,-1713,1,1
22,25245,-1266,-1200,57.9,41623,25,-880,2065,2,1
2.33,36040,713,746,36.8,17678,13,4313,6480,3,1
2.67,41629,1979,-271,63.2,28293,12,4031,3430,4,1
9.67,16974,1344,1962,76.3,6359,82,3480,5809,5,1
1.6,23130,-1007,-960,17.4,10347,17,2707,1489,1,1
8,53612,1625,247,69.6,55033,34,10010,8217,2,1
7,31187,307,1321,45.7,8014,18,463,2592,3,1
2.33,35980,-180,960,45.7,4523,11,-1827,-1281,4,1
2.44,8563,-1764,-1311,47.8,1377,67,-1497,771,5,1
1,35385,1007,960,33.3,1381,14,-2707,-1489,1,0
0.64,11614,-1625,-247,23.3,26431,12,-10010,-8217,2,0
1,21844,-307,-1321,26.7,5695,20,-463,-2592,3,0
2.14,48044,180,-960,50,2783,21,1827,1281,4,0
2,36142,1764,1311,66.7,1926,70,1497,-771,5,0
3.83,37906,2474,2216,59,21832,9,7895,5599,1,1
1.83,13221,-105,-2,28.2,33634,17,-214,2177,2,1
1.75,27205,-406,-944,53.8,1286,23,236,1983,3,1
1.83,14032,-736,-1216,28.2,14090,7,-1673,-999,4,1
3.29,14564,-548,578,59,3426,53,1878,3757,5,1
1.5,22437,-2474,-2216,40.5,6795,18,-7895,-5599,1,0
2.25,29673,105,2,48.6,17537,26,214,-2177,2,0
4.2,30000,406,944,56.8,1267,13,-236,-1983,3,0
2.57,27769,736,1216,48.6,1650,32,1673,999,4,0
1.67,11379,548,-578,40.5,591,47,-1878,-3757,5,0
0.36,10623,-3301,-1549,30.8,2092,4,-5509,-3010,1,0
1.67,8580,-2396,-803,38.5,280,5,-3550,-1846,2,0
1.6,12926,597,-327,61.5,2221,9,623,-626,3,0
0.71,11194,-1485,-854,38.5,142,8,-1437,-219,4,0
1.14,6276,-1509,-667,61.5,85,23,-1492,431,5,0
3.5,25546,3301,1549,42.4,28764,5,5509,3010,1,1
13,16447,2396,803,39.4,26583,14,3550,1846,2,1
5,9726,-597,327,30.3,6177,14,-623,626,3,1
2.5,14065,1485,854,30.3,2735,5,1437,219,4,1
7,7557,1509,667,42.4,1599,20,1492,-431,5,1
2.25,22200,-20,-1102,20.5,29764,12,358,1591,1,1
4.67,14714,-143,-235,31.8,37885,14,3397,5904,2,1
4,17238,-578,960,27.3,11649,24,-1198,2476,3,1
3.75,36780,2988,2204,68.2,13067,16,7463,5012,4,1
6.5,16804,1574,304,59.1,5185,66,1552,566,5,1
1.25,29003,20,1102,45.5,9729,14,-358,-1591,1,0
2.17,13637,143,235,59.1,18102,20,-3397,-5904,2,0
2,9584,578,-960,36.4,8083,13,1198,-2476,3,0
0.6,9686,-2988,-2204,40.9,0,10,-7463,-5012,4,0
0.91,11543,-1574,-304,45.5,2179,54,-1552,-566,5,0
1.33,21669,-411,-1538,60,1516,9,-3400,-5285,1,0
1.22,17744,-661,324,55,542,8,-1739,-4376,2,0
2,23736,1393,1820,50,3304,9,2859,869,3,0
1.33,13110,-4331,-767,40,2234,12,-6309,-761,4,0
