match_id,summoner_name,role,champion,game_length_mins,kda,dmg_to_champions_per_min,team_damage_share,team_gold_share,gold_diff_15,exp_diff_15,kill_participation,objective_damage_per_min,team_objective_damage_share,vision_score_per_min,team_vision_score_share,gold_diff_per_min,exp_diff_per_min,damage_taken_per_min,damage_taken_share,healing_shielding_allies_per_min,win_loss
NA1_5328043652,,1,DrMundo,31.7,0.88,697.7,15.6,19.2,-105,-915,15.909090909090908,486.9,11.0,0.47,9.7,-7.7,-0.8,2301.1,36.3,0.0,1
NA1_5328043652,,2,Trundle,31.7,6.0,999.7,22.3,25.0,-960,-949,68.18181818181817,2981.6,67.1,1.2,24.5,109.5,108.9,1837.5,29.0,0.0,1
NA1_5328043652,,3,Zed,31.7,6.0,1237.1,27.6,21.0,1373,818,54.54545454545454,366.0,8.2,0.69,14.2,48.0,58.6,875.4,13.8,0.0,1
NA1_5328043652,,4,Ziggs,31.7,4.6,1316.0,29.4,21.0,228,619,52.27272727272727,544.6,12.3,0.25,5.2,-2.7,73.3,551.0,8.7,0.0,1
NA1_5328043652,,5,Rakan,31.7,3.5,227.7,5.1,13.8,808,-146,63.63636363636363,63.4,1.4,2.27,46.5,77.5,121.0,780.7,12.3,218.8,1
NA1_5328043652,,3,Camille,31.7,1.45,1036.4,21.1,20.9,-1373,-818,53.333333333333336,0.0,0.0,0.6,12.6,-48.0,-58.6,1433.5,26.9,0.0,0
NA1_5328043652,,2,Urgot,31.7,1.8,1163.2,23.7,22.4,960,949,60.0,246.0,46.8,0.63,13.2,-109.5,-108.9,1457.8,27.4,0.0,0
NA1_5328043652,,1,Kaisa,31.7,2.6,1285.8,26.2,21.8,105,915,43.333333333333336,105.7,20.1,0.51,10.6,7.7,0.8,763.1,14.3,0.0,0
NA1_5328043652,,4,Yunara,31.7,1.67,1204.6,24.5,23.5,-228,-619,50.0,125.9,24.0,0.47,9.9,2.7,-73.3,918.9,17.3,0.0,0
NA1_5328043652,,5,Janna,31.7,1.67,222.9,4.5,11.5,-808,146,50.0,47.7,9.1,2.56,53.6,-77.5,-121.0,748.1,14.1,513.9,0
NA1_5328002011,,1,Urgot,34.6,0.91,662.7,14.9,16.7,-2442,-1589,26.31578947368421,239.5,8.3,0.61,13.6,-32.7,-66.8,1135.6,26.0,0.0,1
NA1_5328002011,,2,Maokai,34.6,3.25,566.6,12.7,16.5,-497,-168,34.21052631578947,629.7,21.8,0.46,10.4,27.4,44.1,1018.2,23.3,0.0,1
NA1_5328002011,,3,Xerath,34.6,1.8,788.2,17.7,17.6,716,786,47.368421052631575,207.5,7.2,0.43,9.7,1.2,-50.4,689.5,15.8,0.0,1
NA1_5328002011,,4,Vayne,34.6,5.0,1486.2,33.4,28.8,3434,1764,78.94736842105263,1338.6,46.4,0.46,10.4,-13.1,49.7,922.0,21.1,0.0,1
NA1_5328002011,,5,Veigar,34.6,9.33,947.0,21.3,20.4,1831,846,73.68421052631578,468.2,16.2,2.49,55.8,143.2,13.2,604.7,13.8,34.5,1
NA1_5328002011,,1,Poppy,34.6,2.33,561.4,16.4,19.6,2442,1589,41.17647058823529,121.4,9.0,0.32,7.7,32.7,66.8,1487.2,27.4,0.0,0
NA1_5328002011,,2,Viego,34.6,0.6,343.3,10.0,16.1,497,168,17.647058823529413,212.5,15.7,0.61,14.7,-27.4,-44.1,1339.6,24.7,0.0,0
NA1_5328002011,,3,Aurora,34.6,2.29,792.4,23.2,18.8,-716,-786,47.05882352941176,86.5,6.4,0.35,8.4,-1.2,50.4,1068.9,19.7,0.0,0
NA1_5328002011,,4,Zeri,34.6,3.0,1399.3,40.9,31.4,-3434,-1764,70.58823529411765,911.5,67.3,0.61,14.7,13.1,-49.7,1184.3,21.8,0.0,0
NA1_5328002011,,5,Yuumi,34.6,3.57,324.8,9.5,14.2,-1831,-846,73.52941176470588,22.2,1.6,2.26,54.5,-143.2,-13.2,341.1,6.3,777.1,0
NA1_5327933139,,1,Fiora,27.4,10.5,1565.5,37.8,28.7,2782,2527,61.76470588235294,840.9,24.9,0.77,19.4,204.9,175.4,1478.0,26.9,210.1,1
NA1_5327933139,,2,Trundle,27.4,8.5,369.3,8.9,19.3,-553,59,50.0,1723.6,51.0,0.51,13.0,68.2,136.5,1609.5,29.3,0.0,1
NA1_5327933139,,3,Viktor,27.4,2.5,1413.4,34.1,21.2,1574,1234,58.82352941176471,285.2,8.4,0.4,10.2,98.1,160.8,888.7,16.2,16.0,1
NA1_5327933139,,4,Varus,27.4,1.75,570.6,13.8,17.3,-1792,-1588,41.17647058823529,441.5,13.1,0.22,5.6,-115.7,-65.1,769.7,14.0,0.0,1
NA1_5327933139,,5,Rakan,27.4,2.0,222.4,5.4,13.5,-1131,-341,47.05882352941176,86.2,2.6,2.04,51.9,-27.6,-35.2,747.4,13.6,191.1,1
NA1_5327933139,,1,Mordekaiser,27.4,1.75,834.2,22.8,21.4,-2782,-2527,50.0,8.2,2.1,0.51,11.7,-204.9,-175.4,1201.2,24.7,0.0,0
NA1_5327933139,,2,Volibear,27.4,1.12,264.1,7.2,18.1,553,-59,32.142857142857146,115.1,29.7,0.66,15.0,-68.2,-136.5,1439.9,29.6,0.0,0
NA1_5327933139,,3,Azir,27.4,1.3,681.3,18.6,18.6,-1574,-1234,46.42857142857143,0.0,0.0,0.33,7.5,-98.1,-160.8,1025.6,21.1,0.0,0
NA1_5327933139,,4,Caitlyn,27.4,3.2,1245.3,34.1,25.5,1792,1588,57.14285714285714,231.2,59.7,0.58,13.3,115.7,65.1,699.5,14.4,0.0,0
NA1_5327933139,,5,Lux,27.4,6.67,629.0,17.2,16.5,1131,341,71.42857142857143,32.5,8.4,2.3,52.5,27.6,35.2,496.5,10.2,99.5,0
NA1_5327901993,,1,Gangplank,24.1,0.6,796.3,31.4,24.1,-1200,-1701,27.27272727272727,197.3,17.9,0.25,5.2,-106.7,-188.1,713.3,17.7,0.0,0
NA1_5327901993,,2,Trundle,24.1,3.5,351.8,13.9,22.1,1115,-41,63.63636363636363,580.1,52.8,0.7,14.8,-0.1,-56.8,1272.1,31.5,0.0,0
NA1_5327901993,,3,Orianna,24.1,1.0,521.6,20.6,21.4,811,410,54.54545454545454,92.2,8.4,0.87,18.3,-36.8,-101.2,615.7,15.2,41.1,0
NA1_5327901993,,4,Yunara,24.1,0.83,663.0,26.1,19.8,-160,-726,45.45454545454545,165.9,15.1,0.58,12.2,-127.5,-141.1,781.9,19.4,0.0,0
NA1_5327901993,,5,Milio,24.1,0.8,204.3,8.1,12.5,-837,1301,36.36363636363637,64.1,5.8,2.36,49.6,-94.9,-32.8,654.7,16.2,236.1,0
NA1_5327901993,,1,Aatrox,24.1,5.0,926.2,30.0,25.0,1200,1701,41.66666666666667,243.6,8.2,0.58,10.4,106.7,188.1,1153.4,31.2,0.0,1
NA1_5327901993,,2,MonkeyKing,24.1,3.0,234.2,7.6,18.2,-1115,41,25.0,1412.5,47.6,1.12,20.1,0.1,56.8,1147.2,31.0,0.0,1
NA1_5327901993,,3,Hwei,24.1,3.33,607.4,19.7,19.4,-811,-410,41.66666666666667,513.4,17.3,0.66,11.9,36.8,101.2,525.8,14.2,6.0,1
NA1_5327901993,,4,Ziggs,24.1,5.5,782.1,25.3,22.5,160,726,45.83333333333333,444.4,15.0,0.54,9.7,127.5,141.1,440.9,11.9,0.0,1
NA1_5327901993,,5,Zoe,24.1,5.0,539.3,17.5,14.9,837,-1301,41.66666666666667,352.0,11.9,2.65,47.8,94.9,32.8,431.8,11.7,13.5,1
NA1_5327881083,,1,Yasuo,28.3,0.71,498.5,21.0,20.5,40,-1593,25.0,329.9,21.8,0.39,8.9,19.7,-126.4,871.3,18.5,0.0,0
NA1_5327881083,,2,Briar,28.3,0.9,326.0,13.7,20.5,-1966,-1458,45.0,590.5,39.1,0.6,13.7,-237.7,-295.8,1335.3,28.3,0.0,0
NA1_5327881083,,3,Azir,28.3,1.14,760.0,32.0,22.0,453,-841,40.0,284.6,18.8,0.53,12.1,14.7,-46.0,939.1,19.9,0.0,0
NA1_5327881083,,4,Yunara,28.3,0.75,381.5,16.1,20.4,-701,-240,30.0,180.6,12.0,0.57,12.9,-107.7,-127.6,799.9,17.0,0.0,0
NA1_5327881083,,5,Karma,28.3,1.71,406.9,17.1,16.7,-240,-221,60.0,125.9,8.3,2.3,52.4,10.7,-61.0,767.8,16.3,103.7,0
NA1_5327881083,,1,FiddleSticks,28.3,3.0,826.4,20.8,16.8,-40,1593,30.76923076923077,390.6,10.1,1.27,22.8,-19.7,126.4,743.8,19.9,0.0,1
NA1_5327881083,,2,Khazix,28.3,8.67,1229.0,31.0,28.6,1966,1458,66.66666666666666,2081.0,53.9,0.6,10.8,237.7,295.8,1263.2,33.7,0.0,1
NA1_5327881083,,3,Xerath,28.3,5.0,775.0,19.6,18.2,-453,841,51.28205128205128,126.3,3.3,0.67,12.0,-14.7,46.0,480.9,12.8,0.0,1
NA1_5327881083,,4,Jinx,28.3,6.67,841.2,21.2,22.5,701,240,51.28205128205128,1155.6,29.9,0.49,8.9,107.7,127.6,625.1,16.7,0.0,1
NA1_5327881083,,5,Blitzcrank,28.3,4.17,292.1,7.4,13.9,240,221,64.1025641025641,107.9,2.8,2.55,45.6,-10.7,61.0,633.3,16.9,11.5,1
NA1_5327848912,,1,Gwen,43.6,2.11,1061.9,25.1,20.5,-1108,-1266,39.58333333333333,819.7,27.8,0.78,16.7,-0.5,10.4,1222.6,21.2,0.0,0
NA1_5327848912,,2,Pantheon,43.6,1.4,906.1,21.4,20.9,1119,2,43.75,992.0,33.7,0.48,10.3,8.5,-42.9,1497.0,26.0,0.0,0
NA1_5327848912,,3,Yone,43.6,2.0,727.2,17.2,19.8,-1863,-977,33.33333333333333,480.3,16.3,0.71,15.2,-44.1,-27.7,1004.9,17.5,0.0,0
NA1_5327848912,,4,Twitch,43.6,2.5,1224.0,28.9,23.9,-631,1521,52.083333333333336,593.9,20.2,0.21,4.4,-76.7,-3.4,842.2,14.6,0.0,0
NA1_5327848912,,5,Leona,43.6,2.9,319.1,7.5,14.8,-1367,-1783,60.416666666666664,58.6,2.0,2.5,53.4,-43.2,-86.5,1191.5,20.7,55.3,0
NA1_5327848912,,1,Ornn,43.6,3.25,842.6,18.1,19.1,1108,1266,50.0,126.1,6.0,0.64,11.7,0.5,-10.4,1463.7,29.4,9.9,1
NA1_5327848912,,2,Graves,43.6,1.5,924.5,19.8,19.1,-1119,-2,46.15384615384615,693.7,33.1,0.94,17.1,-8.5,42.9,1188.3,23.9,0.0,1
NA1_5327848912,,3,Orianna,43.6,4.57,910.8,19.5,20.4,1863,977,61.53846153846154,150.9,7.2,0.73,13.3,44.1,27.7,730.4,14.7,113.1,1
NA1_5327848912,,4,Yunara,43.6,4.0,1357.1,29.1,25.7,631,-1521,61.53846153846154,957.2,45.7,0.64,11.7,76.7,3.4,860.5,17.3,0.0,1
NA1_5327848912,,5,Morgana,43.6,3.67,629.6,13.5,15.7,1367,1783,63.46153846153846,165.1,7.9,2.54,46.2,43.2,86.5,728.7,14.7,142.3,1
NA1_5327828702,,1,Malphite,34.1,1.09,493.7,9.8,14.0,-550,-690,23.52941176470588,122.9,4.8,0.67,12.8,-105.1,-143.3,1030.5,19.7,0.0,1
NA1_5327828702,,2,Pantheon,34.1,5.17,802.8,15.9,21.1,965,1251,60.78431372549019,1106.9,42.8,1.38,26.3,63.0,65.2,1618.3,30.9,0.0,1
NA1_5327828702,,3,Azir,34.1,2.89,964.9,19.2,21.2,216,232,50.98039215686274,867.1,33.5,0.5,9.5,80.3,3.1,855.7,16.3,0.0,1
NA1_5327828702,,4,Smolder,34.1,3.89,1732.0,34.4,26.4,174,1039,68.62745098039215,242.4,9.4,0.29,5.6,122.0,67.5,972.0,18.5,0.0,1
NA1_5327828702,,5,Ziggs,34.1,2.7,1044.8,20.7,17.3,-977,-240,52.94117647058824,247.2,9.6,2.4,45.8,1.9,25.2,765.1,14.6,0.0,1
NA1_5327828702,,1,Singed,34.1,2.83,820.0,19.8,20.0,550,690,37.77777777777778,231.2,10.2,0.59,14.3,105.1,143.3,1408.8,23.0,0.0,0
NA1_5327828702,,2,Nunu,34.1,2.73,777.7,18.8,19.7,-965,-1251,66.66666666666666,1185.1,52.2,0.44,10.7,-63.0,-65.2,1769.4,28.9,0.0,0
NA1_5327828702,,3,Malzahar,34.1,1.58,759.4,18.3,19.0,-216,-232,42.22222222222222,286.4,12.6,0.41,10.0,-80.3,-3.1,821.5,13.4,0.0,0
NA1_5327828702,,4,Kaisa,34.1,2.89,1043.7,25.2,22.7,-174,-1039,57.77777777777777,473.3,20.8,0.73,17.9,-122.0,-67.5,913.1,14.9,0.0,0
NA1_5327828702,,5,Quinn,34.1,2.08,740.9,17.9,18.5,977,240,60.0,93.9,4.1,1.93,47.1,-1.9,-25.2,1217.4,19.9,0.0,0
NA1_5327790810,,1,Kled,28.4,1.3,885.5,23.6,18.3,-657,-427,48.148148148148145,304.9,18.2,0.18,4.1,-93.7,-191.1,1807.2,30.4,0.0,0
NA1_5327790810,,2,MasterYi,28.4,1.1,593.9,15.8,25.0,-2300,-581,40.74074074074074,838.9,50.2,0.91,21.5,-29.0,-104.6,1350.4,22.7,0.0,0
NA1_5327790810,,3,Ryze,28.4,0.9,687.0,18.3,19.2,176,25,33.33333333333333,169.1,10.1,0.49,11.6,-133.1,-101.3,1201.5,20.2,0.0,0
NA1_5327790810,,4,Yunara,28.4,1.7,865.0,23.0,21.8,-264,35,62.96296296296296,270.6,16.2,0.53,12.4,-87.3,-58.8,901.8,15.2,0.0,0
NA1_5327790810,,5,Zoe,28.4,1.83,727.5,19.4,15.7,795,848,40.74074074074074,89.2,5.3,2.15,50.4,-36.2,-113.0,676.2,11.4,0.0,0
NA1_5327790810,,1,Malphite,28.4,3.4,927.7,19.7,19.4,657,427,36.95652173913043,287.3,9.5,0.53,12.3,93.7,191.1,1033.3,22.3,0.0,1
NA1_5327790810,,2,Vi,28.4,16.5,1072.7,22.7,22.1,2300,581,71.73913043478261,1003.1,33.2,0.84,19.7,29.0,104.6,1164.5,25.1,0.0,1
NA1_5327790810,,3,Azir,28.4,4.75,947.8,20.1,21.9,-176,-25,41.30434782608695,852.0,28.2,0.49,11.5,133.1,101.3,712.6,15.4,0.0,1
NA1_5327790810,,4,Aphelios,28.4,2.88,1003.5,21.3,22.0,264,-35,50.0,845.9,28.0,0.67,15.6,87.3,58.8,857.8,18.5,0.0,1
NA1_5327790810,,5,Morgana,28.4,2.62,766.6,16.2,14.7,-795,-848,45.65217391304348,34.1,1.1,1.76,41.0,36.2,113.0,869.5,18.7,21.8,1
NA1_5327071473,,1,Singed,24.1,0.12,244.4,16.1,20.9,-3281,-3146,11.11111111111111,14.6,5.7,0.41,10.8,-205.1,-187.6,1085.4,27.7,0.0,0
NA1_5327071473,,2,Pantheon,24.1,1.0,128.9,8.5,19.0,139,446,33.33333333333333,80.4,31.7,0.62,16.1,-150.3,-159.7,1147.8,29.2,0.0,0
NA1_5327071473,,3,Zoe,24.1,1.0,545.7,36.0,21.2,-597,-528,33.33333333333333,40.1,15.8,0.54,14.0,-120.2,-72.1,485.6,12.4,0.0,0
NA1_5327071473,,4,Aphelios,24.1,1.5,365.2,24.1,22.2,-950,-475,66.66666666666666,118.7,46.8,0.75,19.4,-88.4,-73.5,555.1,14.1,0.0,0
NA1_5327071473,,5,Leona,24.1,1.17,232.9,15.4,16.6,478,172,77.77777777777779,0.0,0.0,1.53,39.8,-33.2,-58.6,650.1,16.6,12.7,0
NA1_5327071473,,1,Teemo,24.1,10.0,936.1,30.6,24.7,3281,3146,41.66666666666667,376.5,9.8,0.37,10.0,205.1,187.6,543.6,17.6,0.0,1
NA1_5327071473,,2,MasterYi,24.1,6.0,349.9,11.4,20.7,-139,-446,50.0,2535.5,65.9,0.41,11.1,150.3,159.7,1090.8,35.4,0.0,1
NA1_5327071473,,3,Azir,24.1,9.0,821.4,26.8,20.9,597,528,37.5,300.9,7.8,0.5,13.3,120.2,72.1,547.1,17.7,0.0,1
NA1_5327071473,,4,Yunara,24.1,6.0,680.1,22.2,20.2,950,475,50.0,479.2,12.5,0.54,14.4,88.4,73.5,388.2,12.6,0.0,1
NA1_5327071473,,5,Thresh,24.1,5.0,272.8,8.9,13.5,-478,-172,62.5,155.1,4.0,1.91,51.1,33.2,58.6,514.4,16.7,73.3,1
NA1_5326176859,,1,Vladimir,30.3,3.67,657.5,20.8,20.9,396,-394,37.93103448275862,100.8,14.4,0.33,8.3,45.9,22.1,1258.0,26.8,0.0,0
NA1_5326176859,,2,JarvanIV,30.3,1.67,604.5,19.1,19.5,-481,103,51.724137931034484,62.6,8.9,1.15,28.9,-72.7,-127.2,1078.1,23.0,0.0,0
NA1_5326176859,,3,Zed,30.3,1.86,942.4,29.8,23.8,433,73,44.827586206896555,163.2,23.2,0.49,12.4,-41.5,-105.0,804.8,17.2,0.0,0
NA1_5326176859,,4,Ezreal,30.3,2.25,615.8,19.5,21.5,-231,235,31.03448275862069,272.8,38.8,0.36,9.1,-35.8,-3.3,738.4,15.7,0.0,0
NA1_5326176859,,5,Zilean,30.3,3.75,341.8,10.8,14.4,-650,726,51.724137931034484,102.9,14.7,1.65,41.3,-35.2,-17.1,811.9,17.3,155.3,0
NA1_5326176859,,1,Azir,30.3,0.75,848.6,21.9,17.2,-396,394,22.22222222222222,537.5,15.1,0.56,11.6,-45.9,-22.1,783.7,17.4,0.0,1
NA1_5326176859,,2,Belveth,30.3,3.0,544.3,14.0,21.7,481,-103,44.44444444444444,1615.7,45.4,0.99,20.4,72.7,127.2,1343.2,29.9,0.0,1
NA1_5326176859,,3,Yasuo,30.3,2.29,935.4,24.1,24.3,-433,-73,59.25925925925925,420.4,11.8,0.69,14.3,41.5,105.0,1129.8,25.2,0.0,1
NA1_5326176859,,4,Hwei,30.3,2.4,832.6,21.5,21.8,231,-235,44.44444444444444,427.7,12.0,0.86,17.7,35.8,3.3,598.2,13.3,14.9,1
NA1_5326176859,,5,Neeko,30.3,2.8,716.2,18.5,15.1,650,-726,51.85185185185185,561.1,15.8,1.75,36.1,35.2,17.1,637.4,14.2,0.0,1
NA1_5325431663,,1,Garen,40.4,1.1,671.2,18.0,18.9,-1680,-1355,30.555555555555557,97.6,17.2,0.4,7.6,-94.5,-41.4,1120.2,18.4,0.0,0
NA1_5325431663,,2,Rengar,40.4,2.11,664.0,17.8,22.8,1518,-173,52.77777777777778,202.3,35.7,0.59,11.4,46.9,-61.5,1294.5,21.3,0.0,0
NA1_5325431663,,3,Vladimir,40.4,2.75,1629.9,43.7,27.9,849,2056,61.111111111111114,202.2,35.7,0.59,11.4,128.4,-2.0,1903.6,31.3,0.0,0
NA1_5325431663,,4,Zeri,40.4,1.43,410.2,11.0,17.1,-1406,148,27.77777777777778,50.9,9.0,0.59,11.4,-154.8,-76.5,813.0,13.3,0.0,0
NA1_5325431663,,5,Bard,40.4,1.5,353.2,9.5,13.2,1518,-676,41.66666666666667,14.2,2.5,3.02,58.1,-37.1,-207.8,959.5,15.8,76.7,0
NA1_5325431663,,1,Gangplank,40.4,2.1,1184.8,22.8,22.3,1680,1355,47.72727272727273,400.3,8.5,0.64,12.3,94.5,41.4,1351.4,26.6,0.0,1
NA1_5325431663,,2,XinZhao,40.4,3.17,861.1,16.6,19.5,-1518,173,43.18181818181818,1973.6,42.1,0.82,15.6,-46.9,61.5,1766.1,34.7,0.0,1
NA1_5325431663,,3,Diana,40.4,1.45,1356.8,26.2,20.6,-849,-2056,36.36363636363637,412.0,8.8,0.74,14.2,-128.4,2.0,854.4,16.8,0.0,1
NA1_5325431663,,4,Caitlyn,40.4,3.4,1298.2,25.0,23.4,1406,-148,38.63636363636363,1744.5,37.2,0.62,11.8,154.8,76.5,545.2,10.7,0.0,1
NA1_5325431663,,5,Nidalee,40.4,5.5,486.6,9.4,14.3,-1518,676,50.0,159.2,3.4,2.4,46.0,37.1,207.8,570.7,11.2,559.9,1
NA1_5325415744,,1,Ambessa,29.6,0.89,568.0,22.8,19.6,-1312,-1430,50.0,75.2,17.6,0.41,11.1,-48.6,-111.2,1464.5,27.7,0.0,0
NA1_5325415744,,2,Nidalee,29.6,0.91,327.7,13.2,17.4,-1825,-2065,62.5,265.9,62.2,0.85,23.1,-197.0,-249.2,1439.0,27.2,99.3,0
NA1_5325415744,,3,Orianna,29.6,0.75,325.0,13.1,23.8,-963,-1608,37.5,86.3,20.2,0.54,14.8,38.6,-39.7,862.1,16.3,27.5,0
NA1_5325415744,,4,Smolder,29.6,2.0,982.2,39.5,25.0,-2407,-980,75.0,0.0,0.0,0.51,13.9,-87.5,-72.8,768.8,14.5,0.0,0
NA1_5325415744,,5,Zilean,29.6,1.62,285.3,11.5,14.2,-1143,-705,81.25,0.0,0.0,1.35,37.0,-44.8,81.1,757.5,14.3,140.1,0
NA1_5325415744,,1,MonkeyKing,29.6,4.0,706.6,16.7,18.8,1312,1430,19.047619047619047,600.6,16.0,0.61,14.2,48.6,111.2,676.4,18.3,0.0,1
NA1_5325415744,,2,JarvanIV,29.6,10.0,814.7,19.2,23.6,1825,2065,47.61904761904761,1866.8,49.6,0.61,14.2,197.0,249.2,607.8,16.4,0.0,1
NA1_5325415744,,3,Galio,29.6,5.5,878.3,20.7,18.4,963,1608,52.38095238095239,308.0,8.2,0.41,9.4,-38.6,39.7,996.8,26.9,49.0,1
NA1_5325415744,,4,Lucian,29.6,6.25,1380.5,32.5,25.2,2407,980,59.523809523809526,879.7,23.4,0.47,11.0,87.5,72.8,888.8,24.0,0.0,1
NA1_5325415744,,5,Nami,29.6,5.75,462.2,10.9,14.0,1143,705,54.761904761904766,107.5,2.9,2.2,51.2,44.8,-81.1,530.2,14.3,514.2,1
NA1_5325401770,,1,Yone,16.0,7.0,1335.1,40.7,26.6,3952,3959,48.275862068965516,349.3,16.5,0.81,27.1,306.2,318.9,768.0,20.1,0.0,1
NA1_5325401770,,2,Nidalee,16.0,5.0,447.8,13.6,21.9,2664,1902,51.724137931034484,1401.0,66.1,0.56,18.8,203.5,172.1,1230.1,32.3,29.0,1
NA1_5325401770,,3,Sylas,16.0,2.0,674.9,20.6,17.2,872,334,27.586206896551722,83.1,3.9,0.56,18.8,73.3,67.1,971.8,25.5,0.0,1
NA1_5325401770,,4,Twitch,16.0,9.0,527.1,16.1,22.9,1357,739,31.03448275862069,170.1,8.0,0.31,10.4,72.4,-18.5,359.0,9.4,0.0,1
NA1_5325401770,,5,Nautilus,16.0,2.0,297.7,9.1,11.3,-1377,-471,20.689655172413794,115.9,5.5,0.75,25.0,-96.4,-37.6,485.1,12.7,0.0,1
NA1_5325401770,,1,Kennen,16.0,0.11,394.1,17.5,17.6,-3952,-3959,7.6923076923076925,0.0,0.0,0.25,8.3,-306.2,-318.9,868.0,20.5,0.0,0
NA1_5325401770,,2,Pantheon,16.0,0.5,199.4,8.9,17.3,-2664,-1902,23.076923076923077,344.2,74.2,0.62,20.8,-203.5,-172.1,1216.4,28.8,0.0,0
NA1_5325401770,,3,Kassadin,16.0,1.33,583.2,25.9,18.5,-872,-334,30.76923076923077,88.1,19.0,0.0,0.0,-73.3,-67.1,839.8,19.9,0.0,0
NA1_5325401770,,4,Sivir,16.0,2.0,637.7,28.4,26.1,-1357,-739,76.92307692307693,12.9,2.8,0.5,16.7,-72.4,18.5,617.4,14.6,0.0,0
NA1_5325401770,,5,Pyke,16.0,1.67,433.8,19.3,20.4,1377,471,76.92307692307693,18.6,4.0,1.62,54.2,96.4,37.6,688.6,16.3,0.0,0
NA1_5325375918,,1,Vladimir,35.1,3.17,1095.1,21.4,18.3,728,1048,37.254901960784316,106.5,4.5,0.88,17.2,-23.0,-9.8,1371.1,23.6,0.0,1
NA1_5325375918,,2,Viego,35.1,3.38,1163.2,22.7,24.2,980,250,52.94117647058824,1285.4,54.2,0.68,13.3,151.8,95.5,1719.3,29.6,0.0,1
